No.     Time           Source                Destination           Protocol Length Info
    182 21.172203000   192.168.1.100         216.58.196.99         UDP      82     Source port: 58560  Destination port: https
    197 21.505962000   192.168.1.100         192.168.1.1           DNS      76     Standard query 0x3146  A web.facebook.com
    198 21.574705000   192.168.1.1           192.168.1.100         DNS      224    Standard query response 0x3146  CNAME z-1.facebook.com CNAME z-1.c10r.facebook.com A 31.13.79.208
    282 23.147331000   192.168.1.100         192.168.1.1           DNS      85     Standard query 0xe336  A z-1-scontent.xx.fbcdn.net
    283 23.209637000   192.168.1.1           192.168.1.100         DNS      204    Standard query response 0xe336  A 31.13.79.208
    287 23.668912000   192.168.1.100         192.168.1.1           DNS      73     Standard query 0xe3d4  A julialang.org
    370 24.284285000   192.168.1.1           192.168.1.100         DNS      304    Standard query response 0xe3d4  CNAME julialang.github.io CNAME github.map.fastly.net A 103.245.222.133
    374 24.345920000   192.168.1.100         192.168.1.1           DNS      94     Standard query 0x4995  A z-1-scontent.fmaa1-2.fna.fbcdn.net
    432 24.758930000   192.168.1.1           192.168.1.100         DNS      213    Standard query response 0x4995  A 157.240.190.104
   1224 29.799322000   192.168.1.100         192.168.1.1           DNS      79     Standard query 0x76c0  A clients4.google.com
   1236 29.884905000   192.168.1.1           192.168.1.100         DNS      255    Standard query response 0x76c0  CNAME clients.l.google.com A 216.58.196.110
   1238 29.888964000   192.168.1.100         216.58.196.110        UDP      1392   Source port: 53688  Destination port: https
   1266 30.076449000   216.58.196.110        192.168.1.100         UDP      1392   Source port: https  Destination port: 53688
   1270 30.077059000   192.168.1.100         216.58.196.110        UDP      79     Source port: 53688  Destination port: https
   1271 30.077189000   192.168.1.100         216.58.196.110        UDP      392    Source port: 53688  Destination port: https
   1272 30.077223000   192.168.1.100         216.58.196.110        UDP      1392   Source port: 53688  Destination port: https
   1273 30.077241000   192.168.1.100         216.58.196.110        UDP      903    Source port: 53688  Destination port: https
   1310 30.351490000   216.58.196.110        192.168.1.100         UDP      74     Source port: https  Destination port: 53688
   1311 30.351611000   216.58.196.110        192.168.1.100         UDP      74     Source port: https  Destination port: 53688
   1333 30.503228000   216.58.196.110        192.168.1.100         UDP      368    Source port: https  Destination port: 53688
   1334 30.509648000   216.58.196.110        192.168.1.100         UDP      799    Source port: https  Destination port: 53688
   1335 30.509739000   192.168.1.100         216.58.196.110        UDP      88     Source port: 53688  Destination port: https
   1336 30.509747000   216.58.196.110        192.168.1.100         UDP      61     Source port: https  Destination port: 53688
   1337 30.535031000   192.168.1.100         216.58.196.110        UDP      79     Source port: 53688  Destination port: https
   1911 35.705652000   192.168.1.100         192.168.1.1           DNS      85     Standard query 0x19d7  A z-1-external.xx.fbcdn.net
   2034 36.613543000   192.168.1.1           192.168.1.100         DNS      231    Standard query response 0x19d7  CNAME z-1-scontent.xx.fbcdn.net A 31.13.79.208
